SurveyDay,NumberOf12HourDays,RefRoad,NLightLorries_12,NMediumLorries_12,NHeavyLorries_12,NVeryHeavyLorries_12,NLargeBuses_12,Total,Region
2,1,26,2,14,0,0,0,16,TANGA
7,1,26,2,2,0,0,5,9,TANGA
7,1,26,0,1,3,0,11,15,TANGA
4,1,26,8,186,5,0,6,205,TANGA
1,1,26,7,4,4,0,2,17,TANGA
2,1,26,2,13,2,0,1,18,TANGA
4,1,26,9,2,2,0,2,15,TANGA
7,1,26,8,7,2,0,6,23,TANGA
4,1,26,0,1,0,0,0,1,TANGA
7,1,26,3,12,2,1,12,30,TANGA
7,1,26,15,31,2,3,11,62,TANGA
7,1,26,1,10,0,0,6,17,TANGA
2,1,26,1,4,2,0,0,7,TANGA
