SurveyDay,NumberOf12HourDays,RefRoad,NLightLorries_12,NMediumLorries_12,NHeavyLorries_12,NVeryHeavyLorries_12,NLargeBuses_12,Total,Region
3,1,2,0,6,4,37,5,52,COAST
4,1,2,2,6,3,28,7,46,COAST
2,1,2,0,82,3,1,0,86,COAST
2,1,2,8,0,38,54,0,100,COAST
4,1,2,28,13,0,3,2,46,COAST
4,1,2,9,21,0,0,0,30,COAST
2,1,2,11,18,6,9,7,51,COAST
5,1,2,11,18,6,9,7,51,COAST
2,1,2,3,7,0,3,9,22,COAST
4,1,2,0,7,0,0,9,16,COAST
4,1,2,7,4,0,0,0,11,COAST
2,1,2,19,23,0,0,0,42,COAST
4,1,2,19,2,0,0,0,21,COAST
4,1,2,46,65,7,20,1,139,COAST
4,1,2,19,13,3,0,0,35,COAST
5,1,3,15,58,48,810,193,1124,DODOMA
1,1,3,77,105,559,279,213,1233,DODOMA
2,1,3,13,38,76,750,248,1125,DODOMA
4,1,3,102,259,114,1076,284,1835,DODOMA
2,1,3,60,272,119,913,513,1877,DODOMA
4,1,3,244,195,223,1097,375,2134,DODOMA
5,1,3,258,504,112,657,322,1853,DODOMA
4,1,3,133,564,130,916,215,1958,DODOMA
5,1,3,133,564,130,916,215,1958,DODOMA
4,1,3,107,44,96,659,170,1076,DODOMA
5,1,3,46,663,67,912,181,1869,DODOMA
5,1,3,21,68,43,859,186,1177,DODOMA
4,1,3,11,38,11,108,54,222,DODOMA
1,1,3,2,11,8,34,40,95,DODOMA
1,1,3,18,28,29,133,51,259,DODOMA
1,1,3,18,28,29,133,51,259,DODOMA
4,1,3,40,42,40,122,84,328,DODOMA
2,1,3,33,359,44,145,77,658,DODOMA
5,1,3,54,99,8,3,64,228,DODOMA
2,1,3,168,207,52,24,60,511,DODOMA
2,1,3,157,146,128,905,301,1637,DODOMA
3,1,3,55,208,19,29,77,388,DODOMA
4,1,3,10,16,6,9,32,73,DODOMA
5,1,3,19,92,57,33,92,293,DODOMA
5,1,3,13,24,10,0,10,57,DODOMA
1,1,3,7,7,1,0,9,24,DODOMA
1,1,3,16,16,0,0,13,45,DODOMA
5,1,3,0,9,3,0,13,25,DODOMA
5,1,3,0,21,3,0,25,49,DODOMA
5,1,3,2,3,0,0,6,11,DODOMA
4,1,3,1,8,0,3,7,19,DODOMA
4,1,3,0,4,0,0,5,9,DODOMA
3,1,3,0,34,0,0,4,38,DODOMA
5,1,3,2,26,1,0,3,32,DODOMA
2,1,3,0,6,0,0,4,10,DODOMA
5,1,3,1,15,2,17,27,62,DODOMA
4,1,3,95,143,23,0,55,316,DODOMA
4,1,3,13,40,4,0,0,57,DODOMA
2,1,3,2,49,29,2,11,93,DODOMA
5,1,3,0,3,4,0,1,8,DODOMA
5,1,3,0,2,0,0,3,5,DODOMA
4,1,3,11,12,66,0,3,92,DODOMA
5,1,3,24,21,41,8,5,99,DODOMA
4,1,3,5,41,6,0,12,64,DODOMA
3,1,3,8,2,9,3,24,46,DODOMA
4,1,3,8,62,18,6,13,107,DODOMA
5,1,3,2,15,5,1,13,36,DODOMA
4,1,3,1,6,1,0,8,16,DODOMA
3,1,3,0,4,0,0,4,8,DODOMA
3,1,3,0,1,0,1,0,2,DODOMA
3,1,3,0,1,3,0,0,4,DODOMA
5,1,3,131,172,39,4,294,640,DODOMA
3,1,3,0,1,0,0,3,4,DODOMA
5,1,3,1,13,1,0,4,19,DODOMA
1,1,3,0,9,0,0,4,13,DODOMA
4,1,3,2,4,3,0,0,9,DODOMA
4,1,3,1,5,1,3,6,16,DODOMA
3,1,3,18,2,12,6,5,43,DODOMA
4,1,3,3,18,7,0,2,30,DODOMA
1,1,3,3,13,0,1,14,31,DODOMA
5,1,3,0,3,0,0,2,5,DODOMA
5,1,3,54,99,8,3,64,228,DODOMA
2,1,4,180,122,8,4,195,509,DAR ES SALAAM
3,1,4,336,255,142,81,1211,2025,DAR ES SALAAM
1,1,4,336,212,151,99,1505,2303,DAR ES SALAAM
1,1,4,444,423,232,1037,1316,3452,DAR ES SALAAM
1,1,4,843,321,167,1010,1438,3779,DAR ES SALAAM
1,1,4,428,969,212,874,482,2965,DAR ES SALAAM
1,1,4,769,407,287,855,708,3026,DAR ES SALAAM
1,1,4,313,161,182,273,11,940,DAR ES SALAAM
3,1,4,259,222,195,677,1243,2596,DAR ES SALAAM
2,1,4,70,13,0,0,0,83,DAR ES SALAAM
2,1,4,98,31,10,2,5,146,DAR ES SALAAM
4,1,4,156,202,16,2,39,415,DAR ES SALAAM
4,1,4,222,93,9,0,79,403,DAR ES SALAAM
5,1,4,243,288,66,40,5,642,DAR ES SALAAM
7,1,4,162,67,57,240,220,746,DAR ES SALAAM
4,1,4,375,324,378,3455,764,5296,DAR ES SALAAM
5,1,4,496,814,593,286,5267,7456,DAR ES SALAAM
6,1,4,87,48,22,4,0,161,DAR ES SALAAM
4,1,4,238,260,9,0,322,829,DAR ES SALAAM
6,1,4,27,9,4,0,0,40,DAR ES SALAAM
6,1,4,479,562,807,352,1030,3230,DAR ES SALAAM
2,1,4,524,472,509,510,92,2107,DAR ES SALAAM
4,1,4,284,101,18,1,362,766,DAR ES SALAAM
3,1,4,1101,405,100,104,414,2124,DAR ES SALAAM
3,1,4,785,768,252,622,819,3246,DAR ES SALAAM
2,1,4,850,817,386,1200,6,3259,DAR ES SALAAM
7,1,4,711,231,4,0,1740,2686,DAR ES SALAAM
4,1,4,82,124,118,5254,20,5598,DAR ES SALAAM
3,1,4,269,295,195,3343,1458,5560,DAR ES SALAAM
2,1,4,270,342,200,2955,6,3773,DAR ES SALAAM
2,1,4,702,1018,578,1981,27,4306,DAR ES SALAAM
3,1,4,524,750,501,2033,33,3841,DAR ES SALAAM
1,1,4,459,587,260,1109,1207,3622,DAR ES SALAAM
6,1,4,939,439,451,103,4200,6132,DAR ES SALAAM
3,1,4,507,517,252,534,139,1949,DAR ES SALAAM
2,1,4,113,30,6,7,857,1013,DAR ES SALAAM
2,1,4,83,20,2,0,42,147,DAR ES SALAAM
7,1,4,711,231,2,0,1740,2684,DAR ES SALAAM
3,1,4,265,129,67,6,6,473,DAR ES SALAAM
1,1,4,402,264,189,50,926,1831,DAR ES SALAAM
5,1,4,379,310,241,166,705,1801,DAR ES SALAAM
1,1,4,963,1020,820,560,4960,8323,DAR ES SALAAM
3,1,4,507,630,307,496,107,2047,DAR ES SALAAM
4,1,4,506,716,451,1162,573,3408,DAR ES SALAAM
3,1,4,369,380,272,426,243,1690,DAR ES SALAAM
2,1,4,630,495,667,100,255,2147,DAR ES SALAAM
4,1,4,321,232,157,208,117,1035,DAR ES SALAAM
4,1,4,167,113,43,13,1,337,DAR ES SALAAM
4,1,4,54,42,53,4,0,153,DAR ES SALAAM
5,1,4,83,20,34,3,14,154,DAR ES SALAAM
1,1,4,221,68,0,2,26,317,DAR ES SALAAM
4,1,4,116,116,32,4,6,274,DAR ES SALAAM
1,1,4,23,6,0,0,2,31,DAR ES SALAAM
1,1,4,209,103,23,6,42,383,DAR ES SALAAM
4,1,4,232,192,53,6,1,484,DAR ES SALAAM
2,1,4,86,81,31,9,7,214,DAR ES SALAAM
4,1,4,96,123,32,7,20,278,DAR ES SALAAM
5,1,4,172,146,70,7,0,395,DAR ES SALAAM
5,1,4,310,277,60,1,200,848,DAR ES SALAAM
1,1,4,467,70,220,5,620,1382,DAR ES SALAAM
5,1,4,227,237,90,0,0,554,DAR ES SALAAM
4,1,4,240,118,35,0,111,504,DAR ES SALAAM
5,1,4,409,120,18,6,0,553,DAR ES SALAAM
2,1,4,98,18,3,1,5,125,DAR ES SALAAM
5,1,4,279,172,133,168,0,752,DAR ES SALAAM
2,1,4,185,154,49,78,38,504,DAR ES SALAAM
5,1,4,435,199,79,5,28,746,DAR ES SALAAM
4,1,4,148,176,52,61,8,445,DAR ES SALAAM
5,1,4,268,265,35,1,1,570,DAR ES SALAAM
3,1,4,197,60,29,3,4,293,DAR ES SALAAM
1,1,4,379,238,134,12,230,993,DAR ES SALAAM
3,1,4,96,102,37,13,281,529,DAR ES SALAAM
